Article,Area,BU - Positions,Fees 01/26,Fees 02/26,Fees 03/26,Fees 04/26,Fees 05/26,Fees 06/26,Fees 07/26,Fees 08/26,Fees 09/26,Fees 10/26,Fees 11/26,Fees 12/25,Fees 12/26,Market,Nb pos.,Site,Sold pos. 02/26,Tags,Topic,Traffic 30 days (18/09),Traffic 30 days (19/02),Traffic July,URL
Apps de casino,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-2c6258225041807c952ae0d5d48e9814?pvs=21), 2 (https://www.notion.so/2-2c625822504180e598fbf9457c59cb26?pvs=21), 3 (https://www.notion.so/3-2c62582250418072bc02cb9c99d01881?pvs=21), 4 (https://www.notion.so/4-2c625822504180b99d97df6a8bd147ca?pvs=21), 5 (https://www.notion.so/5-2c6258225041801d95a0f3d39483a969?pvs=21), 6 (https://www.notion.so/6-2c625822504180afb6d3ff642a1c6653?pvs=21), 7 (https://www.notion.so/7-2c625822504180099747ff6a08b9ff3c?pvs=21), 8 (https://www.notion.so/8-2c6258225041802d92bff0a9ec66c6ce?pvs=21), 9 (https://www.notion.so/9-2c6258225041805cb66df03eae83469a?pvs=21), 10 (https://www.notion.so/10-2c625822504180f482f2d831ec8f0ad4?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,Clube do Video Game (https://www.notion.so/Clube-do-Video-Game-46c1d2b3e6e44ad1842b9ac4b7c07594?pvs=21),0,Apps,Casino,,,4,https://clubedovideogame.com.br/melhor-app-de-cassino/
Cassinos online,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-162258225041819da938c2b4f9c67e3a?pvs=21), 2 (https://www.notion.so/2-16225822504181939177c699242cd950?pvs=21), 3 (https://www.notion.so/3-16225822504181dcac03d2baf2be5ebf?pvs=21), 4 (https://www.notion.so/4-16225822504181278a26f248021fb53c?pvs=21), 5 (https://www.notion.so/5-16225822504181ce8d77d3a36acbc8db?pvs=21)",500,500,500,0,0,0,0,0,0,0,0,500,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),5,Clube do Video Game (https://www.notion.so/Clube-do-Video-Game-46c1d2b3e6e44ad1842b9ac4b7c07594?pvs=21),1,,Casino,,,23,https://clubedovideogame.com.br/melhores-cassinos-online/
Bonus de Apostas,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-16225822504181d9bd59cdd4cf805a2b?pvs=21), 2 (https://www.notion.so/2-1622582250418157a09fdc7156b29ded?pvs=21), 3 (https://www.notion.so/3-1622582250418161aa29fca835b1a7f0?pvs=21), 4 (https://www.notion.so/4-1622582250418172a6f0ebb4c3caf41a?pvs=21), 5 (https://www.notion.so/5-16225822504181d49573e5bb9a503aba?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),5,Esportelandia (https://www.notion.so/Esportelandia-371786c012f34bb695a37cca521f2b0a?pvs=21),0,Bonus,Sports betting,,,4,https://www.esportelandia.com.br/apostar-online/melhores-bonus-apostas-esportivas/
Casas de apostas,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-1622582250418170bcd0fe191501d3ac?pvs=21), 2 (https://www.notion.so/2-1622582250418014b833eb0adfdd9cb5?pvs=21), 3 (https://www.notion.so/3-16225822504180db8312c7dc83ceb915?pvs=21), 4 (https://www.notion.so/4-162258225041801fa393eb6e303bbc21?pvs=21), 5 (https://www.notion.so/5-162258225041803ea34de4c2dc5280c8?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),5,Esportelandia (https://www.notion.so/Esportelandia-371786c012f34bb695a37cca521f2b0a?pvs=21),0,,Sports betting,,,6,https://www.esportelandia.com.br/apostar-online/melhores-casas-de-apostas/
Apps de apostas,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-16225822504181aca80be2374d36aac4?pvs=21), 2 (https://www.notion.so/2-1622582250418154a63fc3e417a6042b?pvs=21), 3 (https://www.notion.so/3-16225822504181318463ebd76d7a4383?pvs=21), 4 (https://www.notion.so/4-1622582250418111a5def12187a3d822?pvs=21), 5 (https://www.notion.so/5-16225822504181b4acc5dda85947113d?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),5,Futdados (https://www.notion.so/Futdados-3c5cc9a5e37c453480d5e7b23b744f53?pvs=21),0,Apps,Sports betting,,,9,https://futdados.com/app-apostas-esportivas
Bonus de aposta,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-16225822504181cf981bc1d5e830d364?pvs=21), 2 (https://www.notion.so/2-162258225041815c85a7e9d8882df6be?pvs=21), 3 (https://www.notion.so/3-16225822504181f9ba7ae553386d5eab?pvs=21), 4 (https://www.notion.so/4-162258225041817db50fc87c6d880b54?pvs=21), 5 (https://www.notion.so/5-162258225041810b9d15d5f470e2f533?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),5,Futdados (https://www.notion.so/Futdados-3c5cc9a5e37c453480d5e7b23b744f53?pvs=21),0,Bonus,Sports betting,,24,2,https://futdados.com/bonus-apostas/
Casas de apostas,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-162258225041810ca29edcf6c36b3b70?pvs=21), 2 (https://www.notion.so/2-16225822504181f1bcf1cab5b98f1c81?pvs=21), 3 (https://www.notion.so/3-16225822504181f38613ce0fc4d4e550?pvs=21), 4 (https://www.notion.so/4-16225822504181e8860ff84d62094fa6?pvs=21), 5 (https://www.notion.so/5-16225822504181cdbc51c9f1bf142df9?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),5,Futdados (https://www.notion.so/Futdados-3c5cc9a5e37c453480d5e7b23b744f53?pvs=21),0,,Sports betting,,33,6,https://futdados.com/melhores-casas-de-apostas-esportivas-para-brasileiros/
Handicap apostas,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-162258225041811b984ac7909a5ff296?pvs=21), 2 (https://www.notion.so/2-16225822504181b88a53d8af1ca0d711?pvs=21), 3 (https://www.notion.so/3-16225822504181daa9e9c6b57be4b001?pvs=21), 4 (https://www.notion.so/4-162258225041816d86b0e4f9d36fa4fb?pvs=21), 5 (https://www.notion.so/5-162258225041813b9582c7af53df4603?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),5,Futdados (https://www.notion.so/Futdados-3c5cc9a5e37c453480d5e7b23b744f53?pvs=21),0,,Sports betting,,12,9,https://futdados.com/apostas-handicap/
Sites de poker,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-1622582250418192a36cc306cc0e6fb2?pvs=21), 2 (https://www.notion.so/2-16225822504181588b02d78bc014bc70?pvs=21), 3 (https://www.notion.so/3-162258225041810aabb6f9a61471a84a?pvs=21), 4 (https://www.notion.so/4-16225822504181b28900e3a0b6e7cb9d?pvs=21), 5 (https://www.notion.so/5-16225822504181fb8582f3c8e279f8de?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),5,Futdados (https://www.notion.so/Futdados-3c5cc9a5e37c453480d5e7b23b744f53?pvs=21),0,,Poker,,10,7,https://futdados.com/melhores-sites-de-poker-no-brasil/
Apostar na NBA,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-16225822504181e08a35fc7966816132?pvs=21), 2 (https://www.notion.so/2-16225822504181beb228c6012895cbaf?pvs=21), 3 (https://www.notion.so/3-1622582250418134ac90c5fd3918b422?pvs=21), 4 (https://www.notion.so/4-16225822504181d4af58e0b571fee489?pvs=21), 5 (https://www.notion.so/5-16225822504181848e6ec816320b4b9e?pvs=21), 6 (https://www.notion.so/6-1622582250418108bb8be5f25fbd8b1d?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),6,Lakers Brasil (https://www.notion.so/Lakers-Brasil-eb6ad6f82fe24bcd8aa6972cfccc2ba1?pvs=21),0,Competition,Sports betting,16,55,18,https://lakersbrasil.com/apostas/como-apostar-na-nba/
