Position,Account Manager 07/25,Account Manager 08/25,Account Manager 09/25,Account Manager 10/25,Account Manager 11/25,Account Manager 12/25,Bookmaker 01/26,Bookmaker 02/26,Bookmaker 03/26,Bookmaker 04/25,Bookmaker 05/25,Bookmaker 06/25,Bookmaker 07/25,Bookmaker 08/25,Bookmaker 09/25,Bookmaker 10/25,Bookmaker 11/25,Bookmaker 12/25,Bookmakers 04/26,Bookmarker 05/26,Bookmarker 06/26,Bookmarker 07/26,Bookmarker 08/26,Bookmarker 09/26,Bookmarker 10/26,Bookmarker 11/26,Bookmarker 12/26,Formula Market,Formula site,Market,Page,Price 01/25,"Price 01/26 ",Price 02/25,"Price 02/26 ",Price 03/25,"Price 03/26 ",Price 04/25,"Price 04/26 ",Price 05/25,"Price 05/26 ",Price 06/25,Price 06/26,Price 07/25,"Price 07/26 ",Price 08/25,"Price 08/26 ",Price 09/25,Price 09/26,Price 10/25,Price 10/26,Price 11/25,"Price 11/26 ",Price 12/25,Price 12/26,Site,Status 01/25,"Status 01/26 ","Status 02/26 ",Status 03/25,"Status 03/26 ",Status 04/26,"Status 05/26 ",Status 06/25,"Status 06/26 ",Status 07/25,Status 07/26,Status 08/25,"Status 08/26 ",Status 09/25,"Status 09/26 ",Status 10/25,"Status 10/26 ",Status 11/25,"Status 11/26 ",Status 12/25,Status 12/26,Topic,Traffic,Traffic 30 days (18/09),URL,Url
4,https://www.notion.so/22a25822504180979da3cdeb955665c6,https://www.notion.so/22a25822504180979da3cdeb955665c6,https://www.notion.so/22a25822504180979da3cdeb955665c6,https://www.notion.so/22a25822504180979da3cdeb955665c6,https://www.notion.so/22a25822504180979da3cdeb955665c6,https://www.notion.so/22a25822504180979da3cdeb955665c6,Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),,,,,,,,,,@Brazil,Lakers Brasil,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Casas de Apostas (https://www.notion.so/Casas-de-Apostas-1622582250418149a662f619e3fb6469?pvs=21),,,,"€1,000.00",,"€1,000.00","€1,000.00",,"€1,000.00",,"€1,000.00",,"€1,000.00",,€300.00,,"€1,000.00",,€300.00,,€300.00,,€300.00,,https://www.notion.so/eb6ad6f82fe24bcd8aa6972cfccc2ba1,,Sold,Sold,,Sold,,,Sold,,Sold,,Sold,,Sold,,Sold,,Sold,,Sold,,,4406,,,https://lakersbrasil.com/apostas/
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Portugal,Observador,https://www.notion.so/1612582250418087810ecf77a924a7bc,Apps de Apostas (https://www.notion.so/Apps-de-Apostas-16225822504181c98217e7ba47510198?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/c076070ec10740d08926e811846418ee,,,,,,,,,,,,,,,,,,,,,,,209,,,https://observador.pt/prognosticos/apps-apostas/
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,UmDois Esportes,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Casas de apostas que aceitam cartão de crédito (https://www.notion.so/Casas-de-apostas-que-aceitam-cart-o-de-cr-dito-1622582250418155ad37db6166c02fdc?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4a935835ea9d4a99ad9c6bc9d3e72fbe,,,,,,,,,,,,,,,,,,,,,,,331,,,https://www.umdoisesportes.com.br/apostas/pagamento/casas-de-apostas-que-aceitam-cartao-de-credito/
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,UmDois Esportes,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Aplicativos de apostas (https://www.notion.so/Aplicativos-de-apostas-1622582250418107adffef30011ea22a?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4a935835ea9d4a99ad9c6bc9d3e72fbe,,,,,,,,,,,,,,,,,,,,,,,83,,,https://www.umdoisesportes.com.br/apostas/apostas-esportivas/melhores-apps-de-apostas/
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,UmDois Esportes,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Sites de apostas confiáveis (https://www.notion.so/Sites-de-apostas-confi-veis-16225822504181e78655f6f3ab9dc3ac?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4a935835ea9d4a99ad9c6bc9d3e72fbe,,,,,,,,,,,,,,,,,,,,,,,37,,,https://www.umdoisesportes.com.br/apostas/apostas-esportivas/sites-de-apostas-confiaveis/
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Portugal,Observador,https://www.notion.so/1612582250418087810ecf77a924a7bc,Apps de Casino Online (https://www.notion.so/Apps-de-Casino-Online-16225822504181608ad0e4e80e5e5108?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/c076070ec10740d08926e811846418ee,,,,,,,,,,,,,,,,,,,,,,,172,,,https://observador.pt/prognosticos/melhores-apps-casino/
6,https://www.notion.so/22a25822504180b48810f528c3b1be81,https://www.notion.so/22a25822504180b48810f528c3b1be81,https://www.notion.so/22a25822504180b48810f528c3b1be81,https://www.notion.so/22a25822504180b48810f528c3b1be81,,,,,,,BetdaSorte (https://www.notion.so/BetdaSorte-15b2582250418015b6dcef2bc2849036?pvs=21),BetdaSorte (https://www.notion.so/BetdaSorte-15b2582250418015b6dcef2bc2849036?pvs=21),BetdaSorte (https://www.notion.so/BetdaSorte-15b2582250418015b6dcef2bc2849036?pvs=21),Jogo de Ouro (https://www.notion.so/Jogo-de-Ouro-15b25822504180829fb5cce1f17cfc0d?pvs=21),Jogo de Ouro (https://www.notion.so/Jogo-de-Ouro-15b25822504180829fb5cce1f17cfc0d?pvs=21),Jogo de Ouro (https://www.notion.so/Jogo-de-Ouro-15b25822504180829fb5cce1f17cfc0d?pvs=21),,,,,,,,,,,,@Brazil,UmDois Esportes,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Cassinos com Rodadas Grátis (https://www.notion.so/Cassinos-com-Rodadas-Gr-tis-1622582250418174bd7ac1ab5b1d3576?pvs=21),,,,,,,,,€0.00,,€300.00,,€300.00,,€100.00,,€100.00,,€100.00,,,,,,https://www.notion.so/4a935835ea9d4a99ad9c6bc9d3e72fbe,,,,,,,,Sold,,Sold,,Sold,,Sold,,Sold,,,,,,,19560,,,https://www.umdoisesportes.com.br/apostas/cassino/cassinos-com-rodadas-gratis/
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,Trivela,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Banca de apostas esportivas (https://www.notion.so/Banca-de-apostas-esportivas-162258225041819d896ad48ba7610347?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4ac3c78012d94951836307a829f1608b,,,,,,,,,,,,,,,,,,,,,,,85,,,https://trivela.com.br/apostas/guias/gestao-de-banca/
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,Lakers Brasil,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Casas de Apostas (https://www.notion.so/Casas-de-Apostas-1622582250418149a662f619e3fb6469?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/eb6ad6f82fe24bcd8aa6972cfccc2ba1,,,,,,,,,,,,,,,,,,,,,,,4406,,,https://lakersbrasil.com/apostas/
1,,https://www.notion.so/22a25822504180b48810f528c3b1be81,https://www.notion.so/22a25822504180b48810f528c3b1be81,https://www.notion.so/22a25822504180b48810f528c3b1be81,https://www.notion.so/22a25822504180b48810f528c3b1be81,https://www.notion.so/22a25822504180b48810f528c3b1be81,Energia Bet (https://www.notion.so/Energia-Bet-27725822504180f7b430e51efce3fecf?pvs=21),Energia Bet (https://www.notion.so/Energia-Bet-27725822504180f7b430e51efce3fecf?pvs=21),Energia Bet (https://www.notion.so/Energia-Bet-27725822504180f7b430e51efce3fecf?pvs=21),BR4Bet (https://www.notion.so/BR4Bet-15b258225041800b8b3eeb52f2d5bcf4?pvs=21),BR4Bet (https://www.notion.so/BR4Bet-15b258225041800b8b3eeb52f2d5bcf4?pvs=21),BR4Bet (https://www.notion.so/BR4Bet-15b258225041800b8b3eeb52f2d5bcf4?pvs=21),,Zero Um Bet (https://www.notion.so/Zero-Um-Bet-21c25822504180ebb125e70e1ebeb9ad?pvs=21),Zero Um Bet (https://www.notion.so/Zero-Um-Bet-21c25822504180ebb125e70e1ebeb9ad?pvs=21),Energia Bet (https://www.notion.so/Energia-Bet-27725822504180f7b430e51efce3fecf?pvs=21),Energia Bet (https://www.notion.so/Energia-Bet-27725822504180f7b430e51efce3fecf?pvs=21),Energia Bet (https://www.notion.so/Energia-Bet-27725822504180f7b430e51efce3fecf?pvs=21),,,,,,,,,,@Brazil,Lakers Brasil,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Palpites NBA de hoje (https://www.notion.so/Palpites-NBA-de-hoje-162258225041810c80dec3506d199ace?pvs=21),,€750.00,,€450.00,,€450.00,"€1,500.00",,"€1,500.00",,"€1,500.00",,,,"€1,500.00",,€750.00,,€750.00,,€750.00,,€750.00,,https://www.notion.so/eb6ad6f82fe24bcd8aa6972cfccc2ba1,,Sold,Sold,,Sold,,,Sold,,,,Sold,,Sold,,Sold,,Sold,,Sold,,,210,,,https://lakersbrasil.com/apostas/palpites-nba-hoje/
